school,address,city,zip,lat,long
A.C.E. Academy,"7807 Caldwell Road, 28075",Harrisburg,28075,35.30836,-80.6737
Alpha Academy,"8030 Raeford Road, 28304",Fayetteville,28304,35.032074,-79.067116
American Renaissance School,"132 East Broad Street, 28677",Statesville,28677,35.785076,-80.88689
Anderson Creek Academy,"4940 Ray Road, 28390",Spring Lake,28390,35.280025,-78.981186
Apprentice Academy High School  of North Carolina,"2850 Old Charlotte Hwy, 28110",Monroe,28110,35.015896,-80.58618
Arapahoe Charter School,"9005 NC Hwy 306 S, 28510",Arapahoe,28510,NA,NA
Aristotle Preparatory Academy: A Challenge Foundation Academ,"8101 Fallsdale Drive, 28214",Charlotte,28214,35.30503,-80.95185
ArtSpace Charter School,"2030 US Hwy 70, 28778",Swannanoa,28778,NA,NA
Ascend Leadership Academy: Lee County,"283 Harvey Faulk Road, 27332",Sanford,27332,35.433792,-79.12653
B.L.U.E.-G.R.E.E.N. Academy,"3683-B Old Lexington Rd., 27107",Winston-Salem,27107,36.049557,-80.22429
Bear Grass Charter School,"6344 E Bear Grass Rd, 27982",Williamston,27982,NA,NA
Bethany Community School,"1288 Hudson Rd, 27358",Summerfield,27358,36.260506,-79.86721
Bethel Hill Charter,"401 Bethel Hill School Road, 27574-7503",Roxboro,27574-7503,36.504333,-78.916756
Bradford Preparatory School,"2502 Salome Church Rd, 28262",Charlotte,28262,35.344887,-80.722015
Brevard Academy: A Challenge Foundation Academy,"1110 Hendersonville Highway, 28768",Pisgah Forest,28768,35.27027,-82.68394
"Bridges Educational Foundation, Inc.","2587 Pleasant Ridge Road, 28676",State Road,28676,36.315002,-80.88453
CIS Academy,"818 West 3rd Street, 28372",Pembroke,28372,34.685158,-79.203705
Cabarrus Charter Academy,"355 Poplar Crossing Dr NW, 28027",Concord,28027,35.409412,-80.66716
Cape Fear Center for Inquiry,"2525 Wonder Way, 28401",Wilmington,28401,NA,NA
Cardinal Charter Academy,"1020 St. Charles Place, 27513",Cary,27513,35.801594,-78.78233
Carolina Charter Academy: CFA,"8529 NC Highway 55, 27501",Angier,27501,35.533485,-78.74558
Carolina International School,"9545 Poplar Tent Road, 28027",Concord,28027,35.41406,-80.740425
"Carter Community Charter School, Inc.","1955 West Cornwallis Road, 27705",Durham,27705,35.98242,-78.95537
Carter G. Woodson School,"437 Goldfloss Street, 27127-3100",Winston-Salem,27127-3100,36.06727,-80.2312
Casa Esperanza Montessori Charter School,"2600 Sumner Blvd #130, 27616",Raleigh,27616,NA,NA
Central Park School for Children,"724 Foster Street, 27701",Durham,27701,36.004078,-78.90139
Central Wake High School,"1425 Rock Quarry Road, 27610",Raleigh,27610,35.761463,-78.61391
Charlotte Choice Charter,"3124 Milton Road, Suite C, 28215",Charlotte,28215,35.23686,-80.73728
Charlotte Lab School,"301 E 9th Street, 28202",Charlotte,28202,35.229122,-80.83543
Charlotte Secondary School,"8601 McAlpine Park Dr, 28211",Charlotte,28211,35.153313,-80.74977
Charter Day School,"7055 Bacon's Way, 28451",Leland,28451,NA,NA
Chatham Charter,"2200 Hamp Stone Rd, 27344",Siler City,27344,NA,NA
Clover Garden,"2454 Altamahaw Union Ridge Road, 27217",Burlington,27217,36.188015,-79.47044
Coastal Preparatory Academy: A Challenge Foundation Academy,"1135 Pandion Dr, 28411",Wilmington,28411,NA,NA
Columbus Charter School,"35 Bacon's Way, 28472",Whiteville,28472,NA,NA
Commonwealth High School,"5112 Central Ave, 28205",Charlotte,28205,35.210686,-80.75873
Community School of Davidson,"404 Armour Street, 28036",Davidson,28036,35.5072,-80.85159
Concord Lake STEAM Academy,"1911 Concord Lake Road, 28083",Kannapolis,28083,35.459244,-80.600266
Cornerstone Charter Academy: A Challenge Foundation Academy,"7800 Airport Center Drive, 27409",Greensboro,27409,36.11147,-79.960205
Corvian Community School,"4041 Johnston Oehler Road, 28269",Charlotte,28269,35.365482,-80.77441
Crosscreek Charter School,"306 Sandalwood Avenue, 27549",Louisburg,27549,36.09578,-78.29362
Davidson Charter Academy: CFA,"500 Biesecker Rd., 27295",Lexington,27295,35.84507,-80.26861
Dillard Academy Charter School,"504 West Elm Street, 27530",Goldsboro,27530,35.37874,-78.00814
Discovery Charter School,"1305 W. Club Blvd., 27705",Durham,27705,36.01692,-78.91322
Douglass Academy,"507 N 6th Street, 28401",Wilmington,28401,34.241673,-77.94268
East Voyager Academy of Charlotte,"7429 Tuckaseegee Rd., 28214",Charlotte,28214,35.246574,-80.95146
East Wake Academy,"821 Charter School Way, 27597",Zebulon,27597,NA,NA
Emereau: Bladen,"995 Airport Rd, 28337",Elizabethtown,28337,34.59826,-78.57358
Endeavor Charter School,"4879 One World Way, 27587",Wake Forest,27587,35.919327,-78.53788
Eno River Academy,"1212 NC Highway 57 North, 27278",Hillsborough,27278,NA,NA
Envision Science Academy,"590 Traditions Grande Blvd, 27587",Wake Forest,27587,NA,NA
Essie Mae Kiser Foxx Charter School,"729 N Long St, 28039-0061",East Spencer,28039-0061,NA,NA
Evergreen Community Charter,"50 Bell Road, 28805",Asheville,28805,35.602245,-82.49985
Excelsior Classical Academy CFA,"4100 N Roxboro Street, 27704-2122",Durham,27704-2122,36.04614,-78.90271
Falls Lake Academy,"1701 East Lyon Station Road, 27522",Creedmoor,27522,36.110516,-78.734955
FernLeaf Community Charter School,"58 Howard Gap Rd, 28732",Fletcher,28732,35.42614,-82.50099
Forsyth Academy,"5426 Shattalon Drive, 27106",Winston-Salem,27106,36.171535,-80.30004
Francine Delany New School for Children,"119 Brevard Road, 28806",Asheville,28806,35.57361,-82.593475
Franklin Academy,"1127 Chalk Rd, 27587",Wake Forest,27587,35.95681,-78.488266
Gate City Charter Academy,"123 Flemingfield Road, 27405",Greensboro,27405,36.089092,-79.70971
Girls Leadership Academy of Wilmington,"4100 Sunglow Drive, 28405",Wilmington,28405,34.250805,-77.89383
Global Scholars Academy,"311 Dowd St, 27701",Durham,27701,36.000324,-78.8936
Grandfather Academy Inc,"64 Grandfather Home Drive, 28604",Banner Elk,28604,NA,NA
Gray Stone Day School,"49464 Merner Terrace, 28109",Misenheimer,28109,NA,NA
Greensboro Academy,"4049 Battleground Ave, 27410",Greensboro,27410,NA,NA
Guilford Preparatory Academy,"2210 East Cone Blvd, 27405",Greensboro,27405,36.112465,-79.748726
Haliwa-Saponi Tribal School,"130 Haliwa-Saponi Trail, 27844",Hollister,27844,36.25274,-77.98054
Healthy Start Academy,"807 West Chapel Hill Street, 27701",Durham,27701,35.99689,-78.913345
Henderson Collegiate,"1071 Old Epsom Rd, 27536",Henderson,27536,36.308025,-78.39753
Hobgood Charter School,"201 S. Beech Street, 27843",Hobgood,27843,36.02747,-77.39583
IC Imagine,"110 Champion Way, 28806-0224",Asheville,28806-0224,NA,NA
Ignite Innovation Academy - Pitt,"901 Staton Rd, Suite 204, 27834",Greenville,27834,35.652508,-77.36448
Invest Collegiate Transform,"2045 Suttle Ave, 28208",Charlotte,28208,35.226753,-80.87131
Iredell Charter Academy,"251 Home Improvement Street, 28166",Troutman,28166,NA,NA
Island Montessori Charter School,"6339 Carolina Beach Rd, 28412",Wilmington,28412,34.10841,-77.8999
Johnston Charter Academy,"40 Scholar Drive, 27520",Clayton,27520,NA,NA
KIPP Charlotte,"931 Wilann Dr, 28215",Charlotte,28215,35.249992,-80.76618
KIPP Durham College Preparatory,"1107 Holloway Street, 27701",Durham,27701,35.994476,-78.88157
KIPP Gaston College Preparatory,"320 Pleasant Hill Road, 27832",Gaston,27832,36.503544,-77.640144
KIPP Halifax College Preparatory,"9986 Hwy 903, 27839",Halifax,27839,36.368668,-77.680855
